ID,Formation_E
1118,1846.466
1119,1856.433
1120,1850.171
1121,366.0046
1122,380.2392
1123,674.065
1124,840.478
1125,1207.474
1126,1577.943
1127,1785.599
1128,1873.021
1129,1902.259
1130,1918.149
1131,358.2557
1132,358.2294
1133,603.1777
1134,715.611
1135,894.236
1136,1364.714
1137,1510.941
1138,1733.136
1139,1774.819
1140,1834.848
1141,322.7639
1142,329.2478
1143,454.9939
1144,587.5107
1145,726.058
1146,901
1147,1143.039
1148,1391.229
1149,1531.926
1150,1653.198
1151,272.2947
1152,266.0765
1153,385.2583
1154,473.9037
1155,641.306
1156,833.802
1157,974.054
1158,1142.846
1159,1399.186
1160,1580.836
1161,257.0995
1162,244.1808
1163,306.4276
1164,380.5192
1165,509.8878
1166,577.4279
1167,817.638
1168,1038.359
1169,1091.865
1170,1410.728
1171,221.5758
1172,207.6386
1173,285.6619
1174,286.3953
1175,367.0081
1176,428.0761
1177,692.582
1178,763.878
1179,934.224
1180,1191.397
1181,190.0491
1182,180.8365
1183,265.4739
1184,296.8931
1185,365.523
1186,383.9068
1187,535.7159
1188,548.4075
1189,620.302
1190,813.956
1191,173.3998
1192,165.1236
1193,232.3608
1194,259.1618
1195,293.7128
1196,412.9521
1197,417.4549
1198,563.1068
1199,603.62
1200,838.359
1201,101.81776
1202,101.69306
1203,103.50539
1204,100.52772
1205,106.16171
1206,105.86929
1207,108.34462
1208,110.0268
1209,111.03825
1210,113.65451
1211,113.24461
1212,112.67147
1213,117.6524
1214,119.9283
1215,120.016
1216,119.5347
1217,120.7871
1218,126.844
1219,123.2357
1220,121.8614
1221,128.1296
1222,131.3012
1223,130.6833
1224,134.6768
1225,131.6083
1226,133.4965
1227,134.3558
1228,136.0521
1229,138.1243
1230,138.1142
1231,143.126
1232,140.3837
1233,146.3891
1234,145.355
1235,143.5315
1236,153.5602
1237,148.5286
1238,142.3109
1239,148.5121
1240,150.0387
1241,152.723
1242,152.2393
1243,150.9879
1244,155.0901
1245,160.9873
1246,161.2001
1247,155.7685
1248,160.8341
1249,161.2939
1250,161.2405
1251,156.2863
1252,167.6756
1253,166.3098
1254,166.0078
1255,167.3173
1256,167.2995
1257,171.0499
1258,170.8769
1259,171.1326
1260,168.8807
1261,165.1508
1262,172.1567
1263,173.7652
1264,176.7246
1265,176.8955
1266,181.8931
1267,181.182
1268,183.0999
1269,184.6794
1270,185.1516
1271,185.8469
1272,185.5182
1273,180.9519
1274,180.2826
1275,191.1321
1276,196.6445
1277,190.0834
1278,193.667
1279,194.3702
1280,188.1924
1281,195.8088
1282,195.5953
1283,194.864
1284,199.5324
1285,196.6358
1286,202.7396
1287,202.3097
1288,201.0445
1289,201.6943
1290,218.2515
1291,214.1753
1292,205.2055
1293,212.8338
1294,217.348
1295,214.6317
1296,214.6642
1297,218.8583
1298,217.7071
1299,223.147
1300,214.1391
1301,213.2408
1302,227.3456
1303,228.5239
1304,217.8987
1305,222.5342
1306,224.2005
1307,221.4091
1308,222.554
1309,246.5718
1310,234.7325
1311,233.0132
1312,224.1334
1313,241.7508
1314,229.7773
1315,239.9601
1316,233.6083
1317,236.3058
1318,241.0632
1319,245.7666
1320,241.1999
1321,245.985
1322,246.6051
1323,248.9335
1324,240.7111
1325,242.1901
1326,251.551
1327,247.1957
1328,244.5393
1329,254.7086
1330,249.151
1331,259.1195
1332,258.7352
1333,258.9975
1334,257.6713
1335,260.0452
1336,253.2278
1337,268.4837
1338,274.1488
1339,264.6775
1340,275.8556
1341,261.9384
1342,273.5545
1343,279.4213
1344,279.4934
1345,277.1512
1346,281.474
1347,271.6292
1348,271.8014
1349,270.1946
1350,285.132
1351,279.3567
1352,284.7276
1353,284.8343
1354,287.2458
1355,284.7931
1356,296.3337
1357,277.1235
1358,271.8791
1359,277.5001
1360,297.8845
1361,280.4631
1362,284.5704
1363,291.9838
1364,298.0584
1365,304.9234
1366,286.6679
1367,291.7579
1368,306.9329
1369,308.7913
1370,294.8966
1371,325.169
1372,306.5091
1373,299.8108
1374,301.0675
1375,309.6803
1376,311.6079
1377,315.6464
1378,312.4696
1379,306.361
1380,319.4883
1381,313.1043
1382,310.169
1383,299.5632
1384,317.2344
1385,313.4316
1386,332.0857
1387,316.4746
1388,314.7119
1389,330.9176
1390,327.1706
1391,319.4783
1392,320.041
1393,326.9082
1394,333.5714
1395,322.7149
1396,313.7868
1397,312.8327
1398,337.013
1399,330.0731
1400,329.8041
1401,338.5768
1402,350.3694
1403,328.2809
1404,331.9348
1405,341.564
1406,348.0802
1407,343.1966
1408,349.7012
1409,330.4394
1410,331.6077
1411,350.4924
1412,334.7476
1413,333.8037
1414,339.1138
1415,340.3294
1416,350.138
1417,355.953
1418,339.9025
1419,361.7395
1420,344.6537
1421,344.4029
